""	"title"	"geo_accession"	"status"	"submission_date"	"last_update_date"	"type"	"channel_count"	"source_name_ch1"	"organism_ch1"	"characteristics_ch1"	"characteristics_ch1.1"	"characteristics_ch1.2"	"characteristics_ch1.3"	"treatment_protocol_ch1"	"growth_protocol_ch1"	"molecule_ch1"	"extract_protocol_ch1"	"extract_protocol_ch1.1"	"extract_protocol_ch1.2"	"taxid_ch1"	"data_processing"	"data_processing.1"	"data_processing.2"	"platform_id"	"contact_name"	"contact_email"	"contact_institute"	"contact_address"	"contact_city"	"contact_zip.postal_code"	"contact_country"	"data_row_count"	"instrument_model"	"library_selection"	"library_source"	"library_strategy"	"relation"	"relation.1"	"supplementary_file_1"	"age.ch1"	"embryo.ch1"	"genotype.ch1"	"tissue.ch1"
"GSM2929831"	"Mouse embryo cell EB_74"	"GSM2929831"	"Public on Feb 04 2019"	"Jan 11 2018"	"Feb 04 2019"	"SRA"	"1"	"Embryo"	"Mus musculus"	"genotype: C57BL/6J (F) x C57BL/6J (M)"	"age: embryonic day 5.5"	"embryo: embryo 2"	"tissue: Embryo"	"Embryos were dissected from decidua shelled out from uterus. Attached basement membrane and ectoplacental core were carefully removed and fine dissected embryos with visceral endoderm (VE), extraembryonic endoderm (ExE) and epiblast were washed twice with DMEM medium."	"We designed three types of mice crossing: 1) C57BL/6J (C57) female mice mated to C57 male mice; 2) CAST/EiJ (CAST) female mice mated to C57 male mice; 3) C57 female mice mated to CAST male mice. The embryos were collected at embryonic day (E) 5.25, E5.5, E6.25 and E6.5."	"total RNA"	"These embryos were dissociated in TrypLE (Life technologies) for 15mins through trituration and single cells were manually picked with fine glass capillaries dispensing in lysis buffer."	"Libraries generated for sequencing was carried out on Illumina sequencer based on Smart-seq2 protocol."	"RNA libraries were prepared for sequencing using standard Illumina protocols"	"10090"	"The sequencing fregments were aligned to the mm10 genome assembly using STAR."	"Genome_build: mm10"	"Supplementary_files_format_and_content: tab-delimited text files include \"\"Read counts\"\" and RPKM values for each Sample"	"GPL13112"	"Shangli,,Cheng"	"shangli.cheng@ki.se"	"Karolinska Institutet"	"Nobels väg 3, Solna"	"Stockholm"	"17177"	"Sweden"	"0"	"Illumina HiSeq 2000"	"cDNA"	"transcriptomic"	"RNA-Seq"	"BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN08349622"	"SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3551778"	"NONE"	"embryonic day 5.5"	"embryo 2"	"C57BL/6J (F) x C57BL/6J (M)"	"Embryo"
"GSM2929832"	"Mouse embryo cell EB_76"	"GSM2929832"	"Public on Feb 04 2019"	"Jan 11 2018"	"Feb 04 2019"	"SRA"	"1"	"Embryo"	"Mus musculus"	"genotype: C57BL/6J (F) x C57BL/6J (M)"	"age: embryonic day 5.5"	"embryo: embryo 2"	"tissue: Embryo"	"Embryos were dissected from decidua shelled out from uterus. Attached basement membrane and ectoplacental core were carefully removed and fine dissected embryos with visceral endoderm (VE), extraembryonic endoderm (ExE) and epiblast were washed twice with DMEM medium."	"We designed three types of mice crossing: 1) C57BL/6J (C57) female mice mated to C57 male mice; 2) CAST/EiJ (CAST) female mice mated to C57 male mice; 3) C57 female mice mated to CAST male mice. The embryos were collected at embryonic day (E) 5.25, E5.5, E6.25 and E6.5."	"total RNA"	"These embryos were dissociated in TrypLE (Life technologies) for 15mins through trituration and single cells were manually picked with fine glass capillaries dispensing in lysis buffer."	"Libraries generated for sequencing was carried out on Illumina sequencer based on Smart-seq2 protocol."	"RNA libraries were prepared for sequencing using standard Illumina protocols"	"10090"	"The sequencing fregments were aligned to the mm10 genome assembly using STAR."	"Genome_build: mm10"	"Supplementary_files_format_and_content: tab-delimited text files include \"\"Read counts\"\" and RPKM values for each Sample"	"GPL13112"	"Shangli,,Cheng"	"shangli.cheng@ki.se"	"Karolinska Institutet"	"Nobels väg 3, Solna"	"Stockholm"	"17177"	"Sweden"	"0"	"Illumina HiSeq 2000"	"cDNA"	"transcriptomic"	"RNA-Seq"	"BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN08349621"	"SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3551779"	"NONE"	"embryonic day 5.5"	"embryo 2"	"C57BL/6J (F) x C57BL/6J (M)"	"Embryo"
"GSM2929833"	"Mouse embryo cell EB_77"	"GSM2929833"	"Public on Feb 04 2019"	"Jan 11 2018"	"Feb 04 2019"	"SRA"	"1"	"Embryo"	"Mus musculus"	"genotype: C57BL/6J (F) x C57BL/6J (M)"	"age: embryonic day 5.5"	"embryo: embryo 2"	"tissue: Embryo"	"Embryos were dissected from decidua shelled out from uterus. Attached basement membrane and ectoplacental core were carefully removed and fine dissected embryos with visceral endoderm (VE), extraembryonic endoderm (ExE) and epiblast were washed twice with DMEM medium."	"We designed three types of mice crossing: 1) C57BL/6J (C57) female mice mated to C57 male mice; 2) CAST/EiJ (CAST) female mice mated to C57 male mice; 3) C57 female mice mated to CAST male mice. The embryos were collected at embryonic day (E) 5.25, E5.5, E6.25 and E6.5."	"total RNA"	"These embryos were dissociated in TrypLE (Life technologies) for 15mins through trituration and single cells were manually picked with fine glass capillaries dispensing in lysis buffer."	"Libraries generated for sequencing was carried out on Illumina sequencer based on Smart-seq2 protocol."	"RNA libraries were prepared for sequencing using standard Illumina protocols"	"10090"	"The sequencing fregments were aligned to the mm10 genome assembly using STAR."	"Genome_build: mm10"	"Supplementary_files_format_and_content: tab-delimited text files include \"\"Read counts\"\" and RPKM values for each Sample"	"GPL13112"	"Shangli,,Cheng"	"shangli.cheng@ki.se"	"Karolinska Institutet"	"Nobels väg 3, Solna"	"Stockholm"	"17177"	"Sweden"	"0"	"Illumina HiSeq 2000"	"cDNA"	"transcriptomic"	"RNA-Seq"	"BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN08349620"	"SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3551780"	"NONE"	"embryonic day 5.5"	"embryo 2"	"C57BL/6J (F) x C57BL/6J (M)"	"Embryo"
"GSM2929834"	"Mouse embryo cell EB_78"	"GSM2929834"	"Public on Feb 04 2019"	"Jan 11 2018"	"Feb 04 2019"	"SRA"	"1"	"Embryo"	"Mus musculus"	"genotype: C57BL/6J (F) x C57BL/6J (M)"	"age: embryonic day 5.5"	"embryo: embryo 2"	"tissue: Embryo"	"Embryos were dissected from decidua shelled out from uterus. Attached basement membrane and ectoplacental core were carefully removed and fine dissected embryos with visceral endoderm (VE), extraembryonic endoderm (ExE) and epiblast were washed twice with DMEM medium."	"We designed three types of mice crossing: 1) C57BL/6J (C57) female mice mated to C57 male mice; 2) CAST/EiJ (CAST) female mice mated to C57 male mice; 3) C57 female mice mated to CAST male mice. The embryos were collected at embryonic day (E) 5.25, E5.5, E6.25 and E6.5."	"total RNA"	"These embryos were dissociated in TrypLE (Life technologies) for 15mins through trituration and single cells were manually picked with fine glass capillaries dispensing in lysis buffer."	"Libraries generated for sequencing was carried out on Illumina sequencer based on Smart-seq2 protocol."	"RNA libraries were prepared for sequencing using standard Illumina protocols"	"10090"	"The sequencing fregments were aligned to the mm10 genome assembly using STAR."	"Genome_build: mm10"	"Supplementary_files_format_and_content: tab-delimited text files include \"\"Read counts\"\" and RPKM values for each Sample"	"GPL13112"	"Shangli,,Cheng"	"shangli.cheng@ki.se"	"Karolinska Institutet"	"Nobels väg 3, Solna"	"Stockholm"	"17177"	"Sweden"	"0"	"Illumina HiSeq 2000"	"cDNA"	"transcriptomic"	"RNA-Seq"	"BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN08349619"	"SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3551781"	"NONE"	"embryonic day 5.5"	"embryo 2"	"C57BL/6J (F) x C57BL/6J (M)"	"Embryo"
"GSM2929835"	"Mouse embryo cell EB_79"	"GSM2929835"	"Public on Feb 04 2019"	"Jan 11 2018"	"Feb 04 2019"	"SRA"	"1"	"Embryo"	"Mus musculus"	"genotype: C57BL/6J (F) x C57BL/6J (M)"	"age: embryonic day 5.5"	"embryo: embryo 2"	"tissue: Embryo"	"Embryos were dissected from decidua shelled out from uterus. Attached basement membrane and ectoplacental core were carefully removed and fine dissected embryos with visceral endoderm (VE), extraembryonic endoderm (ExE) and epiblast were washed twice with DMEM medium."	"We designed three types of mice crossing: 1) C57BL/6J (C57) female mice mated to C57 male mice; 2) CAST/EiJ (CAST) female mice mated to C57 male mice; 3) C57 female mice mated to CAST male mice. The embryos were collected at embryonic day (E) 5.25, E5.5, E6.25 and E6.5."	"total RNA"	"These embryos were dissociated in TrypLE (Life technologies) for 15mins through trituration and single cells were manually picked with fine glass capillaries dispensing in lysis buffer."	"Libraries generated for sequencing was carried out on Illumina sequencer based on Smart-seq2 protocol."	"RNA libraries were prepared for sequencing using standard Illumina protocols"	"10090"	"The sequencing fregments were aligned to the mm10 genome assembly using STAR."	"Genome_build: mm10"	"Supplementary_files_format_and_content: tab-delimited text files include \"\"Read counts\"\" and RPKM values for each Sample"	"GPL13112"	"Shangli,,Cheng"	"shangli.cheng@ki.se"	"Karolinska Institutet"	"Nobels väg 3, Solna"	"Stockholm"	"17177"	"Sweden"	"0"	"Illumina HiSeq 2000"	"cDNA"	"transcriptomic"	"RNA-Seq"	"BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN08349618"	"SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3551782"	"NONE"	"embryonic day 5.5"	"embryo 2"	"C57BL/6J (F) x C57BL/6J (M)"	"Embryo"
"GSM2929836"	"Mouse embryo cell EB_80"	"GSM2929836"	"Public on Feb 04 2019"	"Jan 11 2018"	"Feb 04 2019"	"SRA"	"1"	"Embryo"	"Mus musculus"	"genotype: C57BL/6J (F) x C57BL/6J (M)"	"age: embryonic day 5.5"	"embryo: embryo 2"	"tissue: Embryo"	"Embryos were dissected from decidua shelled out from uterus. Attached basement membrane and ectoplacental core were carefully removed and fine dissected embryos with visceral endoderm (VE), extraembryonic endoderm (ExE) and epiblast were washed twice with DMEM medium."	"We designed three types of mice crossing: 1) C57BL/6J (C57) female mice mated to C57 male mice; 2) CAST/EiJ (CAST) female mice mated to C57 male mice; 3) C57 female mice mated to CAST male mice. The embryos were collected at embryonic day (E) 5.25, E5.5, E6.25 and E6.5."	"total RNA"	"These embryos were dissociated in TrypLE (Life technologies) for 15mins through trituration and single cells were manually picked with fine glass capillaries dispensing in lysis buffer."	"Libraries generated for sequencing was carried out on Illumina sequencer based on Smart-seq2 protocol."	"RNA libraries were prepared for sequencing using standard Illumina protocols"	"10090"	"The sequencing fregments were aligned to the mm10 genome assembly using STAR."	"Genome_build: mm10"	"Supplementary_files_format_and_content: tab-delimited text files include \"\"Read counts\"\" and RPKM values for each Sample"	"GPL13112"	"Shangli,,Cheng"	"shangli.cheng@ki.se"	"Karolinska Institutet"	"Nobels väg 3, Solna"	"Stockholm"	"17177"	"Sweden"	"0"	"Illumina HiSeq 2000"	"cDNA"	"transcriptomic"	"RNA-Seq"	"BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN08349617"	"SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3551783"	"NONE"	"embryonic day 5.5"	"embryo 2"	"C57BL/6J (F) x C57BL/6J (M)"	"Embryo"
"GSM2929837"	"Mouse embryo cell EB_81"	"GSM2929837"	"Public on Feb 04 2019"	"Jan 11 2018"	"Feb 04 2019"	"SRA"	"1"	"Embryo"	"Mus musculus"	"genotype: C57BL/6J (F) x C57BL/6J (M)"	"age: embryonic day 5.5"	"embryo: embryo 2"	"tissue: Embryo"	"Embryos were dissected from decidua shelled out from uterus. Attached basement membrane and ectoplacental core were carefully removed and fine dissected embryos with visceral endoderm (VE), extraembryonic endoderm (ExE) and epiblast were washed twice with DMEM medium."	"We designed three types of mice crossing: 1) C57BL/6J (C57) female mice mated to C57 male mice; 2) CAST/EiJ (CAST) female mice mated to C57 male mice; 3) C57 female mice mated to CAST male mice. The embryos were collected at embryonic day (E) 5.25, E5.5, E6.25 and E6.5."	"total RNA"	"These embryos were dissociated in TrypLE (Life technologies) for 15mins through trituration and single cells were manually picked with fine glass capillaries dispensing in lysis buffer."	"Libraries generated for sequencing was carried out on Illumina sequencer based on Smart-seq2 protocol."	"RNA libraries were prepared for sequencing using standard Illumina protocols"	"10090"	"The sequencing fregments were aligned to the mm10 genome assembly using STAR."	"Genome_build: mm10"	"Supplementary_files_format_and_content: tab-delimited text files include \"\"Read counts\"\" and RPKM values for each Sample"	"GPL13112"	"Shangli,,Cheng"	"shangli.cheng@ki.se"	"Karolinska Institutet"	"Nobels väg 3, Solna"	"Stockholm"	"17177"	"Sweden"	"0"	"Illumina HiSeq 2000"	"cDNA"	"transcriptomic"	"RNA-Seq"	"BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN08349616"	"SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3551784"	"NONE"	"embryonic day 5.5"	"embryo 2"	"C57BL/6J (F) x C57BL/6J (M)"	"Embryo"
"GSM2929838"	"Mouse embryo cell EB_82"	"GSM2929838"	"Public on Feb 04 2019"	"Jan 11 2018"	"Feb 04 2019"	"SRA"	"1"	"Embryo"	"Mus musculus"	"genotype: C57BL/6J (F) x C57BL/6J (M)"	"age: embryonic day 5.5"	"embryo: embryo 2"	"tissue: Embryo"	"Embryos were dissected from decidua shelled out from uterus. Attached basement membrane and ectoplacental core were carefully removed and fine dissected embryos with visceral endoderm (VE), extraembryonic endoderm (ExE) and epiblast were washed twice with DMEM medium."	"We designed three types of mice crossing: 1) C57BL/6J (C57) female mice mated to C57 male mice; 2) CAST/EiJ (CAST) female mice mated to C57 male mice; 3) C57 female mice mated to CAST male mice. The embryos were collected at embryonic day (E) 5.25, E5.5, E6.25 and E6.5."	"total RNA"	"These embryos were dissociated in TrypLE (Life technologies) for 15mins through trituration and single cells were manually picked with fine glass capillaries dispensing in lysis buffer."	"Libraries generated for sequencing was carried out on Illumina sequencer based on Smart-seq2 protocol."	"RNA libraries were prepared for sequencing using standard Illumina protocols"	"10090"	"The sequencing fregments were aligned to the mm10 genome assembly using STAR."	"Genome_build: mm10"	"Supplementary_files_format_and_content: tab-delimited text files include \"\"Read counts\"\" and RPKM values for each Sample"	"GPL13112"	"Shangli,,Cheng"	"shangli.cheng@ki.se"	"Karolinska Institutet"	"Nobels väg 3, Solna"	"Stockholm"	"17177"	"Sweden"	"0"	"Illumina HiSeq 2000"	"cDNA"	"transcriptomic"	"RNA-Seq"	"BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN08349615"	"SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3551785"	"NONE"	"embryonic day 5.5"	"embryo 2"	"C57BL/6J (F) x C57BL/6J (M)"	"Embryo"
"GSM2929839"	"Mouse embryo cell EB_83"	"GSM2929839"	"Public on Feb 04 2019"	"Jan 11 2018"	"Feb 04 2019"	"SRA"	"1"	"Embryo"	"Mus musculus"	"genotype: C57BL/6J (F) x C57BL/6J (M)"	"age: embryonic day 5.5"	"embryo: embryo 2"	"tissue: Embryo"	"Embryos were dissected from decidua shelled out from uterus. Attached basement membrane and ectoplacental core were carefully removed and fine dissected embryos with visceral endoderm (VE), extraembryonic endoderm (ExE) and epiblast were washed twice with DMEM medium."	"We designed three types of mice crossing: 1) C57BL/6J (C57) female mice mated to C57 male mice; 2) CAST/EiJ (CAST) female mice mated to C57 male mice; 3) C57 female mice mated to CAST male mice. The embryos were collected at embryonic day (E) 5.25, E5.5, E6.25 and E6.5."	"total RNA"	"These embryos were dissociated in TrypLE (Life technologies) for 15mins through trituration and single cells were manually picked with fine glass capillaries dispensing in lysis buffer."	"Libraries generated for sequencing was carried out on Illumina sequencer based on Smart-seq2 protocol."	"RNA libraries were prepared for sequencing using standard Illumina protocols"	"10090"	"The sequencing fregments were aligned to the mm10 genome assembly using STAR."	"Genome_build: mm10"	"Supplementary_files_format_and_content: tab-delimited text files include \"\"Read counts\"\" and RPKM values for each Sample"	"GPL13112"	"Shangli,,Cheng"	"shangli.cheng@ki.se"	"Karolinska Institutet"	"Nobels väg 3, Solna"	"Stockholm"	"17177"	"Sweden"	"0"	"Illumina HiSeq 2000"	"cDNA"	"transcriptomic"	"RNA-Seq"	"BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN08349614"	"SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3551786"	"NONE"	"embryonic day 5.5"	"embryo 2"	"C57BL/6J (F) x C57BL/6J (M)"	"Embryo"
"GSM2929840"	"Mouse embryo cell EB_85"	"GSM2929840"	"Public on Feb 04 2019"	"Jan 11 2018"	"Feb 04 2019"	"SRA"	"1"	"Embryo"	"Mus musculus"	"genotype: C57BL/6J (F) x C57BL/6J (M)"	"age: embryonic day 5.5"	"embryo: embryo 2"	"tissue: Embryo"	"Embryos were dissected from decidua shelled out from uterus. Attached basement membrane and ectoplacental core were carefully removed and fine dissected embryos with visceral endoderm (VE), extraembryonic endoderm (ExE) and epiblast were washed twice with DMEM medium."	"We designed three types of mice crossing: 1) C57BL/6J (C57) female mice mated to C57 male mice; 2) CAST/EiJ (CAST) female mice mated to C57 male mice; 3) C57 female mice mated to CAST male mice. The embryos were collected at embryonic day (E) 5.25, E5.5, E6.25 and E6.5."	"total RNA"	"These embryos were dissociated in TrypLE (Life technologies) for 15mins through trituration and single cells were manually picked with fine glass capillaries dispensing in lysis buffer."	"Libraries generated for sequencing was carried out on Illumina sequencer based on Smart-seq2 protocol."	"RNA libraries were prepared for sequencing using standard Illumina protocols"	"10090"	"The sequencing fregments were aligned to the mm10 genome assembly using STAR."	"Genome_build: mm10"	"Supplementary_files_format_and_content: tab-delimited text files include \"\"Read counts\"\" and RPKM values for each Sample"	"GPL13112"	"Shangli,,Cheng"	"shangli.cheng@ki.se"	"Karolinska Institutet"	"Nobels väg 3, Solna"	"Stockholm"	"17177"	"Sweden"	"0"	"Illumina HiSeq 2000"	"cDNA"	"transcriptomic"	"RNA-Seq"	"BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN08349712"	"SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3551787"	"NONE"	"embryonic day 5.5"	"embryo 2"	"C57BL/6J (F) x C57BL/6J (M)"	"Embryo"
"GSM2929841"	"Mouse embryo cell EB_86"	"GSM2929841"	"Public on Feb 04 2019"	"Jan 11 2018"	"Feb 04 2019"	"SRA"	"1"	"Embryo"	"Mus musculus"	"genotype: C57BL/6J (F) x C57BL/6J (M)"	"age: embryonic day 5.5"	"embryo: embryo 2"	"tissue: Embryo"	"Embryos were dissected from decidua shelled out from uterus. Attached basement membrane and ectoplacental core were carefully removed and fine dissected embryos with visceral endoderm (VE), extraembryonic endoderm (ExE) and epiblast were washed twice with DMEM medium."	"We designed three types of mice crossing: 1) C57BL/6J (C57) female mice mated to C57 male mice; 2) CAST/EiJ (CAST) female mice mated to C57 male mice; 3) C57 female mice mated to CAST male mice. The embryos were collected at embryonic day (E) 5.25, E5.5, E6.25 and E6.5."	"total RNA"	"These embryos were dissociated in TrypLE (Life technologies) for 15mins through trituration and single cells were manually picked with fine glass capillaries dispensing in lysis buffer."	"Libraries generated for sequencing was carried out on Illumina sequencer based on Smart-seq2 protocol."	"RNA libraries were prepared for sequencing using standard Illumina protocols"	"10090"	"The sequencing fregments were aligned to the mm10 genome assembly using STAR."	"Genome_build: mm10"	"Supplementary_files_format_and_content: tab-delimited text files include \"\"Read counts\"\" and RPKM values for each Sample"	"GPL13112"	"Shangli,,Cheng"	"shangli.cheng@ki.se"	"Karolinska Institutet"	"Nobels väg 3, Solna"	"Stockholm"	"17177"	"Sweden"	"0"	"Illumina HiSeq 2000"	"cDNA"	"transcriptomic"	"RNA-Seq"	"BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN08349711"	"SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3551788"	"NONE"	"embryonic day 5.5"	"embryo 2"	"C57BL/6J (F) x C57BL/6J (M)"	"Embryo"
"GSM2929842"	"Mouse embryo cell EB_87"	"GSM2929842"	"Public on Feb 04 2019"	"Jan 11 2018"	"Feb 04 2019"	"SRA"	"1"	"Embryo"	"Mus musculus"	"genotype: C57BL/6J (F) x C57BL/6J (M)"	"age: embryonic day 5.5"	"embryo: embryo 2"	"tissue: Embryo"	"Embryos were dissected from decidua shelled out from uterus. Attached basement membrane and ectoplacental core were carefully removed and fine dissected embryos with visceral endoderm (VE), extraembryonic endoderm (ExE) and epiblast were washed twice with DMEM medium."	"We designed three types of mice crossing: 1) C57BL/6J (C57) female mice mated to C57 male mice; 2) CAST/EiJ (CAST) female mice mated to C57 male mice; 3) C57 female mice mated to CAST male mice. The embryos were collected at embryonic day (E) 5.25, E5.5, E6.25 and E6.5."	"total RNA"	"These embryos were dissociated in TrypLE (Life technologies) for 15mins through trituration and single cells were manually picked with fine glass capillaries dispensing in lysis buffer."	"Libraries generated for sequencing was carried out on Illumina sequencer based on Smart-seq2 protocol."	"RNA libraries were prepared for sequencing using standard Illumina protocols"	"10090"	"The sequencing fregments were aligned to the mm10 genome assembly using STAR."	"Genome_build: mm10"	"Supplementary_files_format_and_content: tab-delimited text files include \"\"Read counts\"\" and RPKM values for each Sample"	"GPL13112"	"Shangli,,Cheng"	"shangli.cheng@ki.se"	"Karolinska Institutet"	"Nobels väg 3, Solna"	"Stockholm"	"17177"	"Sweden"	"0"	"Illumina HiSeq 2000"	"cDNA"	"transcriptomic"	"RNA-Seq"	"BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN08349710"	"SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3551789"	"NONE"	"embryonic day 5.5"	"embryo 2"	"C57BL/6J (F) x C57BL/6J (M)"	"Embryo"
"GSM2929843"	"Mouse embryo cell EB_89"	"GSM2929843"	"Public on Feb 04 2019"	"Jan 11 2018"	"Feb 04 2019"	"SRA"	"1"	"Embryo"	"Mus musculus"	"genotype: C57BL/6J (F) x C57BL/6J (M)"	"age: embryonic day 5.5"	"embryo: embryo 2"	"tissue: Embryo"	"Embryos were dissected from decidua shelled out from uterus. Attached basement membrane and ectoplacental core were carefully removed and fine dissected embryos with visceral endoderm (VE), extraembryonic endoderm (ExE) and epiblast were washed twice with DMEM medium."	"We designed three types of mice crossing: 1) C57BL/6J (C57) female mice mated to C57 male mice; 2) CAST/EiJ (CAST) female mice mated to C57 male mice; 3) C57 female mice mated to CAST male mice. The embryos were collected at embryonic day (E) 5.25, E5.5, E6.25 and E6.5."	"total RNA"	"These embryos were dissociated in TrypLE (Life technologies) for 15mins through trituration and single cells were manually picked with fine glass capillaries dispensing in lysis buffer."	"Libraries generated for sequencing was carried out on Illumina sequencer based on Smart-seq2 protocol."	"RNA libraries were prepared for sequencing using standard Illumina protocols"	"10090"	"The sequencing fregments were aligned to the mm10 genome assembly using STAR."	"Genome_build: mm10"	"Supplementary_files_format_and_content: tab-delimited text files include \"\"Read counts\"\" and RPKM values for each Sample"	"GPL13112"	"Shangli,,Cheng"	"shangli.cheng@ki.se"	"Karolinska Institutet"	"Nobels väg 3, Solna"	"Stockholm"	"17177"	"Sweden"	"0"	"Illumina HiSeq 2000"	"cDNA"	"transcriptomic"	"RNA-Seq"	"BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN08349709"	"SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3551790"	"NONE"	"embryonic day 5.5"	"embryo 2"	"C57BL/6J (F) x C57BL/6J (M)"	"Embryo"
"GSM2929844"	"Mouse embryo cell EB_88"	"GSM2929844"	"Public on Feb 04 2019"	"Jan 11 2018"	"Feb 04 2019"	"SRA"	"1"	"Embryo"	"Mus musculus"	"genotype: C57BL/6J (F) x C57BL/6J (M)"	"age: embryonic day 5.5"	"embryo: embryo 2"	"tissue: Embryo"	"Embryos were dissected from decidua shelled out from uterus. Attached basement membrane and ectoplacental core were carefully removed and fine dissected embryos with visceral endoderm (VE), extraembryonic endoderm (ExE) and epiblast were washed twice with DMEM medium."	"We designed three types of mice crossing: 1) C57BL/6J (C57) female mice mated to C57 male mice; 2) CAST/EiJ (CAST) female mice mated to C57 male mice; 3) C57 female mice mated to CAST male mice. The embryos were collected at embryonic day (E) 5.25, E5.5, E6.25 and E6.5."	"total RNA"	"These embryos were dissociated in TrypLE (Life technologies) for 15mins through trituration and single cells were manually picked with fine glass capillaries dispensing in lysis buffer."	"Libraries generated for sequencing was carried out on Illumina sequencer based on Smart-seq2 protocol."	"RNA libraries were prepared for sequencing using standard Illumina protocols"	"10090"	"The sequencing fregments were aligned to the mm10 genome assembly using STAR."	"Genome_build: mm10"	"Supplementary_files_format_and_content: tab-delimited text files include \"\"Read counts\"\" and RPKM values for each Sample"	"GPL13112"	"Shangli,,Cheng"	"shangli.cheng@ki.se"	"Karolinska Institutet"	"Nobels väg 3, Solna"	"Stockholm"	"17177"	"Sweden"	"0"	"Illumina HiSeq 2000"	"cDNA"	"transcriptomic"	"RNA-Seq"	"BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN08349708"	"SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3551791"	"NONE"	"embryonic day 5.5"	"embryo 2"	"C57BL/6J (F) x C57BL/6J (M)"	"Embryo"
"GSM2929845"	"Mouse embryo cell EB_91"	"GSM2929845"	"Public on Feb 04 2019"	"Jan 11 2018"	"Feb 04 2019"	"SRA"	"1"	"Embryo"	"Mus musculus"	"genotype: C57BL/6J (F) x C57BL/6J (M)"	"age: embryonic day 5.5"	"embryo: embryo 2"	"tissue: Embryo"	"Embryos were dissected from decidua shelled out from uterus. Attached basement membrane and ectoplacental core were carefully removed and fine dissected embryos with visceral endoderm (VE), extraembryonic endoderm (ExE) and epiblast were washed twice with DMEM medium."	"We designed three types of mice crossing: 1) C57BL/6J (C57) female mice mated to C57 male mice; 2) CAST/EiJ (CAST) female mice mated to C57 male mice; 3) C57 female mice mated to CAST male mice. The embryos were collected at embryonic day (E) 5.25, E5.5, E6.25 and E6.5."	"total RNA"	"These embryos were dissociated in TrypLE (Life technologies) for 15mins through trituration and single cells were manually picked with fine glass capillaries dispensing in lysis buffer."	"Libraries generated for sequencing was carried out on Illumina sequencer based on Smart-seq2 protocol."	"RNA libraries were prepared for sequencing using standard Illumina protocols"	"10090"	"The sequencing fregments were aligned to the mm10 genome assembly using STAR."	"Genome_build: mm10"	"Supplementary_files_format_and_content: tab-delimited text files include \"\"Read counts\"\" and RPKM values for each Sample"	"GPL13112"	"Shangli,,Cheng"	"shangli.cheng@ki.se"	"Karolinska Institutet"	"Nobels väg 3, Solna"	"Stockholm"	"17177"	"Sweden"	"0"	"Illumina HiSeq 2000"	"cDNA"	"transcriptomic"	"RNA-Seq"	"BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN08349707"	"SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3551792"	"NONE"	"embryonic day 5.5"	"embryo 2"	"C57BL/6J (F) x C57BL/6J (M)"	"Embryo"
